label,sample,az_max,gyromag_mean,accmag_mean,gz_std,gyromag_max,az_mean,gz_range,gz_min
LIFT,16,5.6,3.3,12.3,1.4,5.3,3.3,4.7,-3.0
LIFT,17,5.8,3.4,12.4,1.4,5.4,3.4,4.8,-3.1
LIFT,18,6.0,3.5,12.5,1.5,5.5,3.5,4.9,-3.2
LIFT,19,6.2,3.6,12.6,1.5,5.6,3.6,5.0,-3.3
LIFT,20,6.4,3.7,12.7,1.5,5.7,3.7,5.1,-3.4
SHAKE,1,7.0,3.2,12.5,1.8,6.0,2.5,6.5,-4.0
SHAKE,2,7.2,3.3,12.6,1.9,6.1,2.6,6.6,-4.1
SHAKE,3,7.4,3.4,12.7,1.9,6.2,2.7,6.7,-4.2
SHAKE,4,7.6,3.5,12.8,2.0,6.3,2.8,6.8,-4.3
SHAKE,5,7.8,3.6,12.9,2.0,6.4,2.9,6.9,-4.4
SHAKE,6,8.0,3.7,13.0,2.1,6.5,3.0,7.0,-4.5
SHAKE,7,8.2,3.8,13.1,2.1,6.6,3.1,7.1,-4.6
SHAKE,8,8.4,3.9,13.2,2.2,6.7,3.2,7.2,-4.7
SHAKE,9,8.6,4.0,13.3,2.2,6.8,3.3,7.3,-4.8
SHAKE,10,8.8,4.1,13.4,2.3,6.9,3.4,7.4,-4.9
SHAKE,11,9.0,4.2,13.5,2.3,7.0,3.5,7.5,-5.0
SHAKE,12,9.2,4.3,13.6,2.4,7.1,3.6,7.6,-5.1
SHAKE,13,9.4,4.4,13.7,2.4,7.2,3.7,7.7,-5.2
SHAKE,14,9.6,4.5,13.8,2.5,7.3,3.8,7.8,-5.3
SHAKE,15,9.8,4.6,13.9,2.5,7.4,3.9,7.9,-5.4
SHAKE,16,10.0,4.7,14.0,2.6,7.5,4.0,8.0,-5.5
SHAKE,17,10.2,4.8,14.1,2.6,7.6,4.1,8.1,-5.6
SHAKE,18,10.4,4.9,14.2,2.7,7.7,4.2,8.2,-5.7
SHAKE,19,10.6,5.0,14.3,2.7,7.8,4.3,8.3,-5.8
SHAKE,20,10.8,5.1,14.4,2.8,7.9,4.4,8.4,-5.9
SWING,1,14.0,5.0,14.5,2.5,9.0,4.0,10.0,-6.0
SWING,2,14.2,5.1,14.6,2.6,9.1,4.1,10.1,-6.1
SWING,3,14.4,5.2,14.7,2.7,9.2,4.2,10.2,-6.2
SWING,4,14.6,5.3,14.8,2.8,9.3,4.3,10.3,-6.3
SWING,5,14.8,5.4,14.9,2.9,9.4,4.4,10.4,-6.4
SWING,6,15.0,5.5,15.0,3.0,9.5,4.5,10.5,-6.5
SWING,7,15.2,5.6,15.1,3.1,9.6,4.6,10.6,-6.6
SWING,8,15.4,5.7,15.2,3.2,9.7,4.7,10.7,-6.7
SWING,9,15.6,5.8,15.3,3.3,9.8,4.8,10.8,-6.8
SWING,10,15.8,5.9,15.4,3.4,9.9,4.9,10.9,-6.9
SWING,11,16.0,6.0,15.5,3.5,10.0,5.0,11.0,-7.0
SWING,12,16.2,6.1,15.6,3.6,10.1,5.1,11.1,-7.1
SWING,13,16.4,6.2,15.7,3.7,10.2,5.2,11.2,-7.2
SWING,14,16.6,6.3,15.8,3.8,10.3,5.3,11.3,-7.3
SWING,15,16.8,6.4,15.9,3.9,10.4,5.4,11.4,-7.4
SWING,16,17.0,6.5,16.0,4.0,10.5,5.5,11.5,-7.5
SWING,17,17.2,6.6,16.1,4.1,10.6,5.6,11.6,-7.6
SWING,18,17.4,6.7,16.2,4.2,10.7,5.7,11.7,-7.7
SWING,19,17.6,6.8,16.3,4.3,10.8,5.8,11.8,-7.8
SWING,20,17.8,6.9,16.4,4.4,10.9,5.9,11.9,-7.9
